Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	NM_183386	10005	10005	NM_005469
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	NM_012332	23597	23597	NM_001033583
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	NM_015547	26027	26027	NM_015547
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	NM_130767	134526	134526	NM_130767
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	NM_018473	55856	55856	NM_001160094
ACOX1	acyl-CoA oxidase 1		PALMCOX		51	51	NM_001185039
ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox	NM_003500	8309	8309	NM_003500
ACOX3	acyl-CoA oxidase 3, pristanoyl				8310	8310	NM_001101667
ACOXL	acyl-CoA oxidase like		FLJ11042, ACOX4	NM_018308	55289	55289	NM_001142807
ACOXL-AS1	ACOXL antisense RNA 1			NR_122074	400997	400997	NR_122074
ACP1	acid phosphatase 1		HAAP, LMW-PTP, LMWPTP	NM_004300	52	52	NM_001040649
ACP2	acid phosphatase 2, lysosomal		LAP	NM_001610	53	53	NM_001302489
ACP3	acid phosphatase 3	ACPP	ACP-3, PAP, TM-PAP	NM_001099	55	55	NM_001099
ACP4	acid phosphatase 4	ACPT		NM_033068	93650	93650	NM_033068
ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP, TRAcP		54	54	NM_001111034
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	NM_016361	51205	51205	NM_001323625
ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1, PAPL	NM_001004318	390928	390928	NM_001004318
ACR	acrosin			NM_001097	49	49	NM_001097
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	NM_032489	84519	84519	NM_032489
ACRP1	ACR pseudogene 1			NG_021518	645529	645529	NG_021518
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	NM_001612	56	56	NM_001612
ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)						
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	NM_015162	23205	23205	NM_001199377
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	NM_030924	81616	81616	NM_001289177
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW	NM_025149	80221	80221	NM_001288968
ACSF3	acyl-CoA synthetase family member 3			NM_174917	197322	197322	NM_001127214
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	NM_001995	2180	2180	NM_001286708
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3, PRO2194	NM_004457	2181	2181	NM_001354158
ACSL3-AS1	ACSL3 antisense RNA 1				105373904	105373904	XR_923949
ACSL3P1	ACSL3 pseudogene 1			NG_025745	100421637	100421637	NG_013080
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	NM_004458	2182	2182	NM_001318509
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5, ACS2	NM_016234	51703	51703	NM_001387037
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2	NM_015256	23305	23305	NM_001009185
ACSL6-AS1	ACSL6 antisense RNA 1				101927693	101927693	NR_183256
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1	NM_052956	116285	116285	NM_001318890
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1, MGC150530	NM_001308172	123876	123876	NM_001308169
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA, HYST1046	NM_182617	348158	348158	NM_001105069
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA	NM_005622	6296	6296	NM_005622
ACSM4	acyl-CoA synthetase medium chain family member 4			NM_001080454	341392	341392	NM_001080454
ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581	NM_017888	54988	54988	NM_001324371
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1			NG_026352	100421779	100421779	NG_026352
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3	NM_207321	142827	142827	NM_207321
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	NM_032501	84532	84532	NM_001252675
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	NM_018677	55902	55902	NM_001076552
ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963	NM_024560	79611	79611	NM_001330242
ACTA1	actin alpha 1, skeletal muscle	ACTA	NEM3	NM_001100	58	58	NM_001100
ACTA2	actin alpha 2, smooth muscle		ACTSA	NM_001613	59	59	NM_001141945
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1, UC001kfo	NR_125373	100132116	100132116	NR_125373
ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)						
ACTB	actin beta			NM_001101	60	60	NM_001101
ACTBL2	actin beta like 2		DKFZp686D0972	NM_001017992	345651	345651	NM_001017992
ACTBP1	ACTB pseudogene 1			NG_022596	643309	643309	NG_022596
ACTBP2	ACTB pseudogene 2			NG_003019	62	62	NG_003019
ACTBP3	ACTB pseudogene 3				63	63	NG_016990
ACTBP4	ACTB pseudogene 4				64	64	NG_003020
ACTBP5	actin, beta pseudogene 5						
ACTBP6	ACTB pseudogene 6			NG_008793	66	66	NG_008793
ACTBP7	ACTB pseudogene 7				67	67	NG_002724
ACTBP8	ACTB pseudogene 8		ACTBP2	NG_000840	68	68	NG_000840
ACTBP9	ACTB pseudogene 9			NG_003162	69	69	NG_003162
ACTBP10	ACTB pseudogene 10				446207	446207	NG_032756
ACTBP11	ACTB pseudogene 11				644220	644220	NG_007577
ACTBP12	ACTB pseudogene 12	ACTGP5		NG_026958	100462767	100462767	NG_026958
ACTBP14	ACTB pseudogene 14			NG_022182	389976	389976	NG_022182
ACTBP15	ACTB pseudogene 15				391334	391334	NG_022872
ACTBP16	ACTB pseudogene 16			NG_022284	100132223	100132223	NG_022284
ACTC1	actin alpha cardiac muscle 1	ACTC	CMD1R	NM_005159	70	70	NM_001406482
ACTE1P	actin epsilon 1, pseudogene				399923	399923	NR_038862
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26		NM_001614	71	71	NM_001199954
ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1		NG_001068	73	73	NG_001068
ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2		NG_004636	74	74	NG_000841
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3		NG_000842	75	75	NG_000842
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4			648740	648740	NR_024438
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6			78	78	
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7			79	79	
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8			80	80	
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9		NG_001069	82	82	NG_001069
ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10		NG_003039	83	83	NG_003039
ACTG1P11	actin gamma 1 pseudogene 11			NG_004636	414754	414754	NG_083988
ACTG1P12	actin gamma 1 pseudogene 12				100418921	100418921	NG_011728
ACTG1P13	actin gamma 1 pseudogene 13				100418920	100418920	NG_025603
ACTG1P14	actin gamma 1 pseudogene 14			NG_023870	100418910	100418910	NG_023870
ACTG1P15	actin gamma 1 pseudogene 15				100418951	100418951	NG_025296
ACTG1P16	actin gamma 1 pseudogene 16				100418960	100418960	NG_026370
ACTG1P17	actin gamma 1 pseudogene 17				283693	283693	NR_036446
ACTG1P18	actin gamma 1 pseudogene 18				100418924	100418924	NG_025850
ACTG1P19	actin gamma 1 pseudogene 19				644160	644160	NG_021670
ACTG1P20	actin gamma 1 pseudogene 20				644961	644961	NR_033926
ACTG1P21	actin gamma 1 pseudogene 21				100131291	100131291	NG_022723
ACTG1P22	actin gamma 1 pseudogene 22				100131953	100131953	NG_021565
ACTG1P23	actin gamma 1 pseudogene 23				442097	442097	NG_022227
ACTG1P24	actin gamma 1 pseudogene 24	POTENP			441783	441783	NG_022456
ACTG1P25	actin gamma 1 pseudogene 25		AGPG	NR_002929	148709	148709	NR_002929
ACTG2	actin gamma 2, smooth muscle	ACTL3, ACTA3	ACTSG	NM_001615	72	72	NM_001199893
ACTL2	symbol withdrawn, see [HGNC:147](/data/gene-symbol-report/#!/hgnc_id/HGNC:147)						
ACTL3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)						
ACTL4	actin-like 4						
ACTL5	actin-like 5		ACTFIB				
ACTL6A	actin like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1	NM_004301	86	86	NM_004301
ACTL6B	actin like 6B	ACTL6	BAF53B, SMARCN2	NM_016188	51412	51412	NM_016188
ACTL7A	actin like 7A			NM_006687	10881	10881	NM_006687
ACTL7B	actin like 7B		Tact1	NM_006686	10880	10880	NM_006686
ACTL8	actin like 8		CT57	NM_030812	81569	81569	NM_030812
ACTL9	actin like 9		MGC33407	NM_178525	284382	284382	NM_178525
ACTL10	actin like 10	C20orf134			170487	170487	NM_001024675
ACTL11P	actin like 11, pseudogene	ACTBP13			389120	389120	NG_028183
ACTMAP	actin maturation protease	C19orf54	FLJ41131	NM_198476	284325	284325	NM_001353805
ACTN1	actinin alpha 1			NM_001102	87	87	NM_001102
ACTN1-DT	ACTN1 divergent transcript	C14orf84, ACTN1-AS1			161159	161159	NR_073422
ACTN2	actinin alpha 2			NM_001103	88	88	NM_001103
ACTN3	actinin alpha 3			NM_001104	89	89	NM_001104
ACTN4	actinin alpha 4	FSGS1			81	81	NM_001322033
ACTN4P1	actinin alpha 4 pseudogene 1				344978	344978	NG_022074
ACTN4P2	actinin alpha 4 pseudogene 2				391026	391026	
ACTP1	actin family pseudogene 1			NG_044542	106480335	106480335	NG_044542
ACTR1A	actin related protein 1A		ARP1, Arp1A		10121	10121	NM_005736
ACTR1AP1	ACTR1A pseudogene 1			NG_021577	100287074	100287074	NG_008287
ACTR1B	actin related protein 1B	CTRN2	Arp1B	NM_005735	10120	10120	NM_005735
ACTR2	actin related protein 2		ARP2	NM_001005386	10097	10097	NM_001005386
ACTR3	actin related protein 3		ARP3	NM_005721	10096	10096	NM_001277140
ACTR3-AS1	ACTR3 antisense RNA 1		AC104653.1	NR_110174	101060091	101060091	NR_110174
ACTR3B	actin related protein 3B		ARP11, ARP3beta	NM_020445	57180	57180	NM_001040135
ACTR3BP1	ACTR3B pseudogene 1			NG_005799	643050	643050	NG_005799
ACTR3BP2	ACTR3B pseudogene 2		FKSG73		440888	440888	NR_027714
ACTR3BP3	ACTR3B pseudogene 3				647156	647156	NG_005800
ACTR3BP4	ACTR3B pseudogene 4				777774	777774	NG_005802
ACTR3BP5	ACTR3B pseudogene 5				399746	399746	NR_045000
ACTR3BP6	ACTR3B pseudogene 6				644773	644773	NG_005801
ACTR3BP7	ACTR3B pseudogene 7				100289004	100289004	NG_068497
ACTR3C	actin related protein 3C		ARP11		653857	653857	NM_001164458
ACTR3P1	ACTR3 pseudogene 1				100288580	100288580	NG_023029
ACTR3P2	ACTR3 pseudogene 2				100129013	100129013	NG_022669
ACTR3P3	ACTR3 pseudogene 3				100128020	100128020	NG_022261
ACTR5	actin related protein 5		FLJ12785, Arp5, INO80M	NM_024855	79913	79913	NM_024855
ACTR6	actin related protein 6		ARP6, FLJ13433	NM_022496	64431	64431	NM_022496
ACTR6P1	ACTR6 pseudogene 1			NG_025147	100421495	100421495	NG_025147
ACTR8	actin related protein 8		INO80N, ARP8	NM_022899	93973	93973	NM_001410774
ACTR10	actin related protein 10		HARP11, ACTR11, Arp11, Arp10		55860	55860	NM_018477
ACTRT1	actin related protein T1		AIP1, KIAA0705, ARIP1, Arp-T1	NM_138289	139741	139741	NM_138289
ACTRT1P1	ACTRT1 pseudogene 1			NG_011795	100128268	100128268	NG_011795
ACTRT2	actin related protein T2		Arp-T2, ARPM2, FLJ25424, ACTRT2	NM_080431	140625	140625	NM_080431
ACTRT3	actin related protein T3		ARPM1	NM_032487	84517	84517	NM_032487
ACVR1	activin A receptor type 1	ACVRLK2	SKR1, ALK2, ACVR1A	NM_001105	90	90	NM_001105
ACVR1B	activin A receptor type 1B	ACVRLK4	ALK4, SKR2, ActRIB	NM_020328	91	91	NM_001412774
ACVR1C	activin A receptor type 1C		ALK7, ACVRLK7	NM_145259	130399	130399	NM_001111031
ACVR2A	activin A receptor type 2A	ACVR2	ACTRII	NM_001616	92	92	NM_001278579
ACVR2B	activin A receptor type 2B		ActR-IIB	NM_001106	93	93	NM_001106
ACVR2B-AS1	ACVR2B antisense RNA 1			NR_028389	100128640	100128640	NR_028389
ACVRL1	activin A receptor like type 1	ACVRLK1, ORW2	HHT2, ALK1, HHT	NM_000020	94	94	NM_000020
ACVRLK2	symbol withdrawn, see [HGNC:171](/data/gene-symbol-report/#!/hgnc_id/HGNC:171)						
ACY1	aminoacylase 1			NM_000666	95	95	NM_000666
ACY1L	symbol withdrawn, see [HGNC:26295](/data/gene-symbol-report/#!/hgnc_id/HGNC:26295)	ACY1L	AN				
ACY3	aminoacylase 3		HCBP1, MGC9740, ACY-3	NM_080658	91703	91703	NM_080658
ACYP1	acylphosphatase 1				97	97	NM_001107
ACYP2	acylphosphatase 2				98	98	NM_001320586
AD1	symbol withdrawn, see [HGNC:620](/data/gene-symbol-report/#!/hgnc_id/HGNC:620)						
AD2	symbol withdrawn, see [HGNC:613](/data/gene-symbol-report/#!/hgnc_id/HGNC:613)	AD2					
AD3	symbol withdrawn, see [HGNC:9508](/data/gene-symbol-report/#!/hgnc_id/HGNC:9508)						
AD4	symbol withdrawn, see [HGNC:9509](/data/gene-symbol-report/#!/hgnc_id/HGNC:9509)						
AD5	Alzheimer disease 5						
ADA	adenosine deaminase		ADA1	NM_000022	100	100	NM_000022
ADA2	adenosine deaminase 2	IDGFL, CECR1	ADGF		51816	51816	NM_001282225
ADAD1	adenosine deaminase domain containing 1		Tenr	NM_139243	132612	132612	NM_001159285
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1				100422386	100422386	NG_016362
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2				100422407	100422407	NG_012925
ADAD2	adenosine deaminase domain containing 2		TENRL, FLJ00337	NM_139174	161931	161931	NM_001145400
ADAL	adenosine deaminase like			NM_001324366	161823	161823	NM_001012969
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	NG_001216	8759	8759	NR_036636
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)			NG_024129	100420505	100420505	NG_024129
ADAM2	ADAM metallopeptidase domain 2	FTNB	PH-30b, PH30, CT15	NM_001464	2515	2515	NM_001278113
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	ADAM3, tMDCI	NR_001569	1587	1587	NR_001569
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2		NG_001526	1596	1596	NR_144553
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5P	tMDCII	NR_001448	255926	255926	NR_001448
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	C14orf96	tMDCIV	NR_002224	8755	8755	NR_002224
ADAM7	ADAM metallopeptidase domain 7		GP-83, EAPI	NM_003817	8756	8756	NM_003817
ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1			NR_125808	101929294	101929294	NR_125808
ADAM7-AS2	ADAM7 antisense RNA 2			NR_125809	101929315	101929315	NR_125809
ADAM8	ADAM metallopeptidase domain 8		CD156, MS2, CD156A	NM_001109	101	101	NM_001109
ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9, KIAA0021, MCMP, Mltng		8754	8754	NM_003816
ADAM10	ADAM metallopeptidase domain 10		kuz, MADM, HsT18717, CD156C	NM_001110	102	102	NM_001110
ADAM11	ADAM metallopeptidase domain 11	MDC		NM_002390	4185	4185	NM_001318933
ADAM12	ADAM metallopeptidase domain 12		MCMPMltna, MLTN		8038	8038	NM_001288973
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)		CAR10, FLJ31066				
ADAM15	ADAM metallopeptidase domain 15		MDC15	NM_003815	8751	8751	NM_001261464
ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP, CD156B		6868	6868	NM_001382777
ADAM18	ADAM metallopeptidase domain 18		tMDCIII, ADAM27	NM_014237	8749	8749	NM_001190956
ADAM19	ADAM metallopeptidase domain 19		MLTNB	NM_033274	8728	8728	NM_033274
ADAM20	ADAM metallopeptidase domain 20				8748	8748	NM_003814
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55		NR_037933	317760	317760	NR_037933
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2				100533671	100533671	NG_028850
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3				644325	644325	NG_023541
ADAM21	ADAM metallopeptidase domain 21		ADAM31		8747	8747	NM_003813
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P		NG_002467	145241	145241	NR_003951
ADAM22	ADAM metallopeptidase domain 22		MDC2	NM_021723	53616	53616	NM_001324417
ADAM23	ADAM metallopeptidase domain 23		MDC3	NM_003812	8745	8745	NM_001410985
ADAM24P	ADAM metallopeptidase domain 24, pseudogene				646479	646479	NG_022410
ADAM28	ADAM metallopeptidase domain 28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	NM_021778	10863	10863	NM_001304351
ADAM29	ADAM metallopeptidase domain 29		svph1, CT73		11086	11086	NM_001130703
ADAM30	ADAM metallopeptidase domain 30		svph4	NM_021794	11085	11085	NM_021794
ADAM32	ADAM metallopeptidase domain 32			NM_145004	203102	203102	NM_001313994
ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521, dJ964F7.1	NM_025220	80332	80332	NM_001282447
ADAMDEC1	ADAM like decysin 1		M12.219	NM_014479	27299	27299	NM_001145271
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1		C3-C5, METH1, KIAA1346		9510	9510	NM_006988
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	NM_014244	9509	9509	NM_014244
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3		KIAA0366, ADAMTS-4		9508	9508	NM_014243
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4		KIAA0688, ADAMTS-2, ADMP-1	NM_005099	9507	9507	NM_001320336
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5		ADMP-2, ADAMTS11		11096	11096	NM_007038
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6		ADAM-TS6	NM_197941	11174	11174	NM_197941
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7		ADAM-TS7, DKFZp434H204	NM_014272	11173	11173	NM_014272
ADAMTS7P1	ADAMTS7 pseudogene 1	ADAMTS7P2			390660	390660	NR_045529
ADAMTS7P2	symbol withdrawn, see [HGNC:49407](/data/gene-symbol-report/#!/hgnc_id/HGNC:49407)						
ADAMTS7P3	ADAMTS7 pseudogene 3				400406	400406	NG_028863
ADAMTS7P4	ADAMTS7 pseudogene 4				642935	642935	NG_022116
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8		METH2, FLJ41712, ADAM-TS8	NM_007037	11095	11095	NM_007037
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9		KIAA1312		56999	56999	NM_001318781
ADAMTS9-AS1	ADAMTS9 antisense RNA 1			NR_110150	101929335	101929335	NR_110150
ADAMTS9-AS2	ADAMTS9 antisense RNA 2			NR_038264	100507098	100507098	NR_038264
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10		ADAM-TS10	NM_030957	81794	81794	NM_001282352
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12			NM_030955	81792	81792	NM_001324511
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	NM_139025	11093	11093	NM_139025
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14			NM_080722	140766	140766	NM_080722
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15			NM_139055	170689	170689	NM_139055
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16		ADAMTS16s	NM_139056	170690	170690	NM_139056
ADAMTS16-DT	ADAMTS16 divergent transcript			NR_109915	101929176	101929176	NR_109915
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17		FLJ32769, FLJ16363	NM_139057	170691	170691	NM_139057
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS21			170692	170692	NM_001326358
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19			NM_133638	171019	171019	NM_133638
ADAMTS19-AS1	ADAMTS19 antisense RNA 1		RP11-346A9.1	NR_125748	103689846	103689846	NR_125748
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20		GON-1	NM_025003	80070	80070	NM_025003
ADAMTS21	symbol withdrawn, see [HGNC:17110](/data/gene-symbol-report/#!/hgnc_id/HGNC:17110)						
ADAMTSL1	ADAMTS like 1	C9orf94	ADAMTSR1, FLJ35283		92949	92949	NM_001040272
ADAMTSL2	ADAMTS like 2		KIAA0605	NM_014694	9719	9719	NM_001145320
ADAMTSL3	ADAMTS like 3		KIAA1233, punctin-2	NM_207517	57188	57188	NM_001301110
ADAMTSL4	ADAMTS like 4	TSRC1	DKFZP434K1772	NM_019032	54507	54507	NM_001288607
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	C1orf138	FLJ45786			574406	NR_104133
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2				100289061	100289061	XR_001738227
ADAMTSL5	ADAMTS like 5	THSD6		NM_213604	339366	339366	NM_001367197
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L	NM_006869	11033	11033	NM_001284308
ADAP2	ArfGAP with dual PH domains 2	CENTA2		NM_018404	55803	55803	NM_001346712
ADAR	adenosine deaminase RNA specific	IFI4, G1P1	ADAR1, DRADA	NM_001111	103	103	NM_001025107
ADARB1	adenosine deaminase RNA specific B1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	NM_015833	104	104	NM_001112
ADARB2	adenosine deaminase RNA specific B2 (inactive)		RED2, hRED2, ADAR3	NM_018702	105	105	NM_018702
ADARB2-AS1	ADARB2 antisense RNA 1	C10orf109, NCRNA00168	bA466B20.1	NR_033387	642394	642394	NR_033387
ADAT1	adenosine deaminase tRNA specific 1			NM_012091	23536	23536	NM_001324444
ADAT2	adenosine deaminase tRNA specific 2	DEADC1	dJ20N2.1, TAD2	NM_001286259	134637	134637	NM_001286259
ADAT3	adenosine deaminase tRNA specific 3		TAD3	NM_138422	113179	113179	NM_001329533
ADCK1	aarF domain containing kinase 1		FLJ39600	NM_020421	57143	57143	NM_001142545
ADCK2	aarF domain containing kinase 2		MGC20727	NM_052853	90956	90956	NM_052853
ADCK5	aarF domain containing kinase 5		FLJ35454	NM_174922	203054	203054	NM_174922
ADCP1	adenosine deaminase complexing protein 1				106	106	
ADCP2	symbol withdrawn, see [HGNC:3009](/data/gene-symbol-report/#!/hgnc_id/HGNC:3009)						
ADCR	symbol withdrawn, see [HGNC:12797](/data/gene-symbol-report/#!/hgnc_id/HGNC:12797)						
ADCY1	adenylate cyclase 1	DFNB44	AC1	NM_021116	107	107	NM_001281768
ADCY2	adenylate cyclase 2		HBAC2, KIAA1060, AC2	NM_020546	108	108	NM_020546
ADCY3	adenylate cyclase 3		AC3		109	109	NM_001320613
ADCY4	adenylate cyclase 4		AC4		196883	196883	NM_001198568
ADCY5	adenylate cyclase 5		AC5	NM_183357	111	111	NM_001199642
ADCY6	adenylate cyclase 6		AC6	NM_020983	112	112	NM_001390830
ADCY6-DT	ADCY6 divergent transcript				100506125	100506125	NR_110019
ADCY7	adenylate cyclase 7		KIAA0037, AC7		113	113	NM_001114
ADCY8	adenylate cyclase 8	ADCY3	HBAC1, AC8		114	114	NM_001115
ADCY9	adenylate cyclase 9		AC9		115	115	NM_001116
ADCY10	adenylate cyclase 10		SAC, Sacy, SACI, HCA2, RP1-313L4.2	NM_018417	55811	55811	NM_001167749
